2026-08-07 09:33:30,246 WARNING Missing checkpoint keys after tied-weight load: ['language_model.model.encoder.embed_tokens.weight', 'language_model.model.decoder.embed_tokens.weight', 'language_model.lm_head.weight']
2026-08-07 09:33:30,614 INFO parameter groups: {'vision': {'tensors': 400, 'parameters': 90368000}, 'projection': {'tensors': 5, 'parameters': 839168}, 'language': {'tensors': 259, 'parameters': 140206848}}
2026-08-07 09:45:46,561 INFO epoch=1 step=480/1454 loss=1.696184 grad_norm=7.1480 lr=[8.205123509865238e-07, 8.205123509865238e-07, 4.102561754932619e-07, 4.102561754932619e-07, 8.205123509865238e-08, 8.205123509865238e-08]
2026-08-07 09:45:50,987 INFO epoch=1 step=490/1454 loss=1.393142 grad_norm=7.6086 lr=[8.122622939791049e-07, 8.122622939791049e-07, 4.0613114698955246e-07, 4.0613114698955246e-07, 8.12262293979105e-08, 8.12262293979105e-08]
2026-08-07 09:45:55,313 INFO epoch=1 step=500/1454 loss=1.684992 grad_norm=8.6999 lr=[8.038765214517868e-07, 8.038765214517868e-07, 4.019382607258934e-07, 4.019382607258934e-07, 8.038765214517868e-08, 8.038765214517868e-08]
2026-08-07 09:47:43,239 INFO dev metrics: {'samples': 128, 'empty_outputs': 0, 'average_words': 22.140625, 'p95_words': 30, 'length_18_24_ratio': 0.5859375, 'single_sentence_ratio': 1.0, 'subject_start_ratio': 1.0, 'dev_loss': 1.5827783456997817, 'global_step': 500}
2026-08-07 09:47:54,921 INFO epoch=1 step=510/1454 loss=1.794408 grad_norm=8.5266 lr=[7.953593728750325e-07, 7.953593728750325e-07, 3.9767968643751626e-07, 3.9767968643751626e-07, 7.953593728750325e-08, 7.953593728750325e-08]
2026-08-07 09:48:04,012 INFO epoch=1 step=520/1454 loss=1.448499 grad_norm=8.1291 lr=[7.86715255703797e-07, 7.86715255703797e-07, 3.933576278518985e-07, 3.933576278518985e-07, 7.867152557037971e-08, 7.867152557037971e-08]
2026-08-07 09:48:08,518 INFO epoch=1 step=530/1454 loss=1.845228 grad_norm=19.6325 lr=[7.779486430967576e-07, 7.779486430967576e-07, 3.889743215483788e-07, 3.889743215483788e-07, 7.779486430967576e-08, 7.779486430967576e-08]
2026-08-07 09:48:12,833 INFO epoch=1 step=540/1454 loss=1.384967 grad_norm=6.9387 lr=[7.690640716015422e-07, 7.690640716015422e-07, 3.845320358007711e-07, 3.845320358007711e-07, 7.690640716015422e-08, 7.690640716015422e-08]
2026-08-07 09:48:17,433 INFO epoch=1 step=550/1454 loss=1.892414 grad_norm=7.3485 lr=[7.600661388071575e-07, 7.600661388071575e-07, 3.8003306940357876e-07, 3.8003306940357876e-07, 7.600661388071575e-08, 7.600661388071575e-08]
2026-08-07 09:48:21,957 INFO epoch=1 step=560/1454 loss=1.709855 grad_norm=8.4507 lr=[7.509595009648266e-07, 7.509595009648266e-07, 3.754797504824133e-07, 3.754797504824133e-07, 7.509595009648265e-08, 7.509595009648265e-08]
2026-08-07 09:48:26,965 INFO epoch=1 step=570/1454 loss=1.562559 grad_norm=29.1636 lr=[7.41748870578473e-07, 7.41748870578473e-07, 3.708744352892365e-07, 3.708744352892365e-07, 7.41748870578473e-08, 7.41748870578473e-08]
2026-08-07 09:48:31,416 INFO epoch=1 step=580/1454 loss=1.705415 grad_norm=7.5168 lr=[7.324390139660924e-07, 7.324390139660924e-07, 3.662195069830462e-07, 3.662195069830462e-07, 7.324390139660923e-08, 7.324390139660923e-08]
2026-08-07 09:48:36,101 INFO epoch=1 step=590/1454 loss=1.712392 grad_norm=7.7639 lr=[7.230347487932793e-07, 7.230347487932793e-07, 3.6151737439663967e-07, 3.6151737439663967e-07, 7.230347487932793e-08, 7.230347487932793e-08]
2026-08-07 09:48:40,935 INFO epoch=1 step=600/1454 loss=1.684782 grad_norm=9.7157 lr=[7.135409415801797e-07, 7.135409415801797e-07, 3.5677047079008983e-07, 3.5677047079008983e-07, 7.135409415801797e-08, 7.135409415801797e-08]
2026-08-07 09:51:22,003 INFO dev metrics: {'samples': 128, 'empty_outputs': 0, 'average_words': 21.390625, 'p95_words': 30, 'length_18_24_ratio': 0.5390625, 'single_sentence_ratio': 1.0, 'subject_start_ratio': 1.0, 'dev_loss': 1.5603062038100386, 'global_step': 600}
2026-08-07 09:51:29,767 INFO epoch=1 step=610/1454 loss=1.619233 grad_norm=9.7953 lr=[7.03962505183164e-07, 7.03962505183164e-07, 3.51981252591582e-07, 3.51981252591582e-07, 7.03962505183164e-08, 7.03962505183164e-08]
2026-08-07 09:51:37,874 INFO epoch=1 step=620/1454 loss=1.884297 grad_norm=8.6115 lr=[6.943043962525221e-07, 6.943043962525221e-07, 3.471521981262611e-07, 3.471521981262611e-07, 6.943043962525222e-08, 6.943043962525222e-08]
2026-08-07 09:51:42,205 INFO epoch=1 step=630/1454 loss=1.630229 grad_norm=7.7176 lr=[6.845716126674952e-07, 6.845716126674952e-07, 3.422858063337476e-07, 3.422858063337476e-07, 6.845716126674953e-08, 6.845716126674953e-08]
2026-08-07 09:51:46,725 INFO epoch=1 step=640/1454 loss=1.685814 grad_norm=7.3815 lr=[6.74769190949972e-07, 6.74769190949972e-07, 3.37384595474986e-07, 3.37384595474986e-07, 6.747691909499721e-08, 6.747691909499721e-08]
2026-08-07 09:51:51,371 INFO epoch=1 step=650/1454 loss=1.547522 grad_norm=7.4006 lr=[6.6490220365819e-07, 6.6490220365819e-07, 3.32451101829095e-07, 3.32451101829095e-07, 6.649022036581901e-08, 6.649022036581901e-08]
2026-08-07 09:51:55,911 INFO epoch=1 step=660/1454 loss=1.502448 grad_norm=7.6384 lr=[6.549757567617869e-07, 6.549757567617869e-07, 3.2748787838089347e-07, 3.2748787838089347e-07, 6.54975756761787e-08, 6.54975756761787e-08]
2026-08-07 09:52:00,341 INFO epoch=1 step=670/1454 loss=1.572808 grad_norm=7.6184 lr=[6.449949869995628e-07, 6.449949869995628e-07, 3.224974934997814e-07, 3.224974934997814e-07, 6.449949869995628e-08, 6.449949869995628e-08]
2026-08-07 09:52:04,712 INFO epoch=1 step=680/1454 loss=1.579091 grad_norm=7.4413 lr=[6.349650592213201e-07, 6.349650592213201e-07, 3.1748252961066006e-07, 3.1748252961066006e-07, 6.349650592213202e-08, 6.349650592213202e-08]
2026-08-07 09:52:09,036 INFO epoch=1 step=690/1454 loss=1.539751 grad_norm=8.2037 lr=[6.248911637151569e-07, 6.248911637151569e-07, 3.1244558185757843e-07, 3.1244558185757843e-07, 6.248911637151569e-08, 6.248911637151569e-08]
2026-08-07 09:52:13,389 INFO epoch=1 step=700/1454 loss=1.481956 grad_norm=8.0736 lr=[6.147785135215955e-07, 6.147785135215955e-07, 3.0738925676079774e-07, 3.0738925676079774e-07, 6.147785135215955e-08, 6.147785135215955e-08]
2026-08-07 09:53:47,288 INFO dev metrics: {'samples': 128, 'empty_outputs': 0, 'average_words': 21.1875, 'p95_words': 29, 'length_18_24_ratio': 0.5625, 'single_sentence_ratio': 1.0, 'subject_start_ratio': 1.0, 'dev_loss': 1.5449969207172822, 'global_step': 700}
2026-08-07 09:53:55,120 INFO epoch=1 step=710/1454 loss=1.613624 grad_norm=8.3546 lr=[6.046323417359383e-07, 6.046323417359383e-07, 3.0231617086796917e-07, 3.0231617086796917e-07, 6.046323417359384e-08, 6.046323417359384e-08]
2026-08-07 09:54:03,261 INFO epoch=1 step=720/1454 loss=1.542653 grad_norm=8.4156 lr=[5.944578988002446e-07, 5.944578988002446e-07, 2.972289494001223e-07, 2.972289494001223e-07, 5.9445789880024454e-08, 5.9445789880024454e-08]
2026-08-07 09:54:07,682 INFO epoch=1 step=730/1454 loss=1.543334 grad_norm=14.5472 lr=[5.842604497863313e-07, 5.842604497863313e-07, 2.9213022489316567e-07, 2.9213022489316567e-07, 5.842604497863314e-08, 5.842604497863314e-08]
2026-08-07 09:54:12,165 INFO epoch=1 step=740/1454 loss=1.577645 grad_norm=7.6692 lr=[5.740452716712036e-07, 5.740452716712036e-07, 2.870226358356018e-07, 2.870226358356018e-07, 5.7404527167120356e-08, 5.7404527167120356e-08]
2026-08-07 09:54:16,620 INFO epoch=1 step=750/1454 loss=1.645996 grad_norm=9.6580 lr=[5.638176506063232e-07, 5.638176506063232e-07, 2.819088253031616e-07, 2.819088253031616e-07, 5.638176506063232e-08, 5.638176506063232e-08]
2026-08-07 09:54:21,031 INFO epoch=1 step=760/1454 loss=1.578467 grad_norm=6.9920 lr=[5.535828791821313e-07, 5.535828791821313e-07, 2.7679143959106564e-07, 2.7679143959106564e-07, 5.535828791821313e-08, 5.535828791821313e-08]
2026-08-07 09:54:25,786 INFO epoch=1 step=770/1454 loss=1.362691 grad_norm=8.6310 lr=[5.433462536892374e-07, 5.433462536892374e-07, 2.716731268446187e-07, 2.716731268446187e-07, 5.433462536892374e-08, 5.433462536892374e-08]
