2026-08-06 18:52:06,599 WARNING Missing checkpoint keys after tied-weight load: ['language_model.model.encoder.embed_tokens.weight', 'language_model.model.decoder.embed_tokens.weight', 'language_model.lm_head.weight']
2026-08-06 18:52:06,820 INFO parameter groups: {'vision': {'tensors': 400, 'parameters': 90368000}, 'projection': {'tensors': 5, 'parameters': 839168}, 'language': {'tensors': 259, 'parameters': 140206848}}
2026-08-06 19:02:33,849 INFO epoch=1 step=470/969 loss=1.784796 grad_norm=7.3403 lr=[6.097523016452663e-07, 6.097523016452663e-07, 3.0487615082263313e-07, 3.0487615082263313e-07, 6.097523016452662e-08, 6.097523016452662e-08]
2026-08-06 19:02:38,656 INFO epoch=1 step=480/969 loss=1.709563 grad_norm=7.2023 lr=[5.944900093285814e-07, 5.944900093285814e-07, 2.972450046642907e-07, 2.972450046642907e-07, 5.944900093285814e-08, 5.944900093285814e-08]
2026-08-06 19:02:44,111 INFO epoch=1 step=490/969 loss=1.406792 grad_norm=7.6427 lr=[5.791758436511618e-07, 5.791758436511618e-07, 2.895879218255809e-07, 2.895879218255809e-07, 5.791758436511618e-08, 5.791758436511618e-08]
2026-08-06 19:02:48,839 INFO epoch=1 step=500/969 loss=1.696839 grad_norm=7.9107 lr=[5.638276602451491e-07, 5.638276602451491e-07, 2.8191383012257455e-07, 2.8191383012257455e-07, 5.638276602451491e-08, 5.638276602451491e-08]
2026-08-06 19:04:36,097 INFO dev metrics: {'samples': 128, 'empty_outputs': 0, 'average_words': 22.359375, 'p95_words': 30, 'length_18_24_ratio': 0.5625, 'single_sentence_ratio': 1.0, 'subject_start_ratio': 1.0, 'dev_loss': 1.593841213236526, 'global_step': 500}
2026-08-06 19:04:44,988 INFO epoch=1 step=510/969 loss=1.809995 grad_norm=9.9520 lr=[5.48463354405834e-07, 5.48463354405834e-07, 2.74231677202917e-07, 2.74231677202917e-07, 5.4846335440583404e-08, 5.4846335440583404e-08]
2026-08-06 19:04:53,402 INFO epoch=1 step=520/969 loss=1.459526 grad_norm=8.2397 lr=[5.331008402265443e-07, 5.331008402265443e-07, 2.6655042011327213e-07, 2.6655042011327213e-07, 5.3310084022654425e-08, 5.3310084022654425e-08]
2026-08-06 19:04:57,752 INFO epoch=1 step=530/969 loss=1.861721 grad_norm=8.3794 lr=[5.177580297116109e-07, 5.177580297116109e-07, 2.588790148558054e-07, 2.588790148558054e-07, 5.177580297116109e-08, 5.177580297116109e-08]
2026-08-06 19:05:02,509 INFO epoch=1 step=540/969 loss=1.395176 grad_norm=7.7624 lr=[5.024528118917751e-07, 5.024528118917751e-07, 2.5122640594588756e-07, 2.5122640594588756e-07, 5.0245281189177514e-08, 5.0245281189177514e-08]
2026-08-06 19:05:07,461 INFO epoch=1 step=550/969 loss=1.909435 grad_norm=7.7543 lr=[4.872030319663759e-07, 4.872030319663759e-07, 2.4360151598318796e-07, 2.4360151598318796e-07, 4.872030319663759e-08, 4.872030319663759e-08]
2026-08-06 19:05:12,485 INFO epoch=1 step=560/969 loss=1.724018 grad_norm=9.0621 lr=[4.720264704966483e-07, 4.720264704966483e-07, 2.3601323524832416e-07, 2.3601323524832416e-07, 4.7202647049664836e-08, 4.7202647049664836e-08]
2026-08-06 19:05:17,075 INFO epoch=1 step=570/969 loss=1.582060 grad_norm=7.9864 lr=[4.569408226743824e-07, 4.569408226743824e-07, 2.284704113371912e-07, 2.284704113371912e-07, 4.569408226743824e-08, 4.569408226743824e-08]
2026-08-06 19:05:22,173 INFO epoch=1 step=580/969 loss=1.713248 grad_norm=8.7137 lr=[4.4196367769012255e-07, 4.4196367769012255e-07, 2.2098183884506127e-07, 2.2098183884506127e-07, 4.4196367769012255e-08, 4.4196367769012255e-08]
2026-08-06 19:05:26,877 INFO epoch=1 step=590/969 loss=1.727697 grad_norm=13.4662 lr=[4.271124982249579e-07, 4.271124982249579e-07, 2.1355624911247895e-07, 2.1355624911247895e-07, 4.271124982249579e-08, 4.271124982249579e-08]
